Site;CP;Ville;Nb;Premier;Dernier
CHRONOPOST BORDEAUX NORD ;33300;BORDEAUX;  1;2020-08-20;2020-08-20
CHRONOPOST MONTPELLIER;34070;MONTPELLIER ; 36;2020-02-10;2021-07-12
CHRONOPOST MONTPELLIER BAILLARGUES;34670;BAILLARGUES;  2;2021-07-01;2021-07-01
CHRONOPOST RENNES;35136;SAINT JACQUES DE LA LANDE; 34;2019-09-17;2020-03-09
CHRONOPOST RENNES  BETTON;35830;BETTON;  4;2020-11-25;2021-05-19
AGENCE CHRONOPOST;37390;CHANCEAUX SUR CHOISILLE; 55;2019-11-04;2020-10-15
CHRONOPOST TOURS;37390;CHANCEAUX SUR CHOISILLE;  1;2020-01-17;2020-01-17
CHRONOPOST TOURS CHANCEAUX SUR CHOISILLE;37390;CHANCEAUX SUR CHOISILLE;  1;2021-02-18;2021-02-18
COLITTORAL;40160;YCHOUX;  1;2020-10-27;2020-10-27
AGENCE DAX;40230;SAINT GEOURS DE MAREMME ;  9;2020-01-17;2020-01-17
CHRONOPOST - DAX;40230;SAINT GEOURS DE MAREMNE; 14;2020-09-18;2020-09-18
TRANSFRAN;41000;BLOIS;  1;2019-09-02;2019-09-02
EASY COURSES;42300;ROANNE;  1;2021-08-03;2021-08-03
CHRONOPOST SAINT ETIENNE;42650;ST JEAN DE BONNEFONDS; 21;2020-04-29;2020-05-06
CHRONOPOST NANTES;44470;CARQUEFOU;  1;2020-05-29;2020-05-29
CHRONOPOST ORLEANS;45140;INGRE; 32;2020-02-20;2021-08-02
CHRONOPOST ANGERS;49480;ST SYLVAIN D ANJOU;  2;2020-04-20;2021-10-04
CHRONOPOST CARENTAN;50500;CARENTAN LES MARAIS;  8;2020-07-23;2020-07-23
CHRONOPOST CARENTAN ,;50500;CARENTAN LES MARAIS;  1;2020-09-22;2020-09-22
CHRONOPOST REIMS;51420;CERNAY LES REIMS; 26;2021-02-01;2021-03-31
CHRONOPOST VANNES;56000;VANNES; 14;2020-08-21;2021-08-10
CHRONOPOST METZ;57365;ENNERY; 24;2020-02-06;2021-09-30
CHRONOPOST LILLE ;59000;LILLE;  4;2019-04-03;2021-03-09
CHRONOPOST VALENCIENNES;59220;ROUVIGNIES;  1;2021-05-18;2021-05-18
SAM TRANSPORT;59400;CAMBRAI;  1;2020-09-08;2020-09-08
CHRONOPOST HUB ARRAS COURCELLES LES LENS;62970; COURCELLES LES LENS; 10;2021-03-10;2021-03-10
DUMAS TRANSPORTS;63200;RIOM;  1;2021-02-09;2021-02-09
AGENCE CHRONOPOST CLERMONT FERRAND;63360;GERZAT;  1;2019-07-10;2019-07-10
CHRONOPOST CLERMONT FERRAND;63360;GERZAT;  4;2020-11-27;2021-10-29
CHRONOPOST PAU;64160;MORLAAS; 27;2021-03-31;2021-03-31
AGENCE CRHONOPOST DE BAYONNE ;64990;MOUGUERRE;  2;2020-12-10;2020-12-10
CHRONOPOST BAYONNE MOUGUERRE;64990;MOUGUERRE;  1;2021-06-28;2021-06-28
CHRONOPOST PERPIGNAN;66600;RIVESALTES; 18;2020-02-17;2021-06-21
CHRONOPOST STRASBOURG;67200;STRASBOURG;  1;2021-07-07;2021-07-07
CHRONOPOST MULHOUSE;68350;DIDENHEIM; 19;2020-01-30;2021-08-31
CHRONOPOST DECINES;69150;DECINES CHARPIEU; 14;2020-02-05;2020-02-05
CHRONOPOST LYON DECINES;69150;DECINES CHARPIEU;  2;2020-04-29;2021-03-30
CHRONOPOST HUB JONAGE ;69330;JONAGE;  1;2020-10-29;2020-10-29
CHRONOPOST LYON NORD;69380;LISSIEU; 16;2019-06-12;2021-02-03
CHRONOPOST MACON ;71020;MACON ;  4;2020-04-27;2021-04-12
SPEEDBOX 2;71160;DIGOIN;  1;2021-02-03;2021-02-03
SPEEDBOX;71510;ESSERTENNE;  1;2021-02-03;2021-02-03
SPEEDBOX ;71510;ESSERTENNE FRANCE;  1;2021-05-04;2021-05-04
CHRONOPOST HUB LE MANS;72190;NEUVILLE SUR SARTHE;  1;2021-08-16;2021-08-16
CHRONOPOST LE MANS;72650;TRANGE;  1;2021-02-01;2021-02-01
CHRONOPOST CHAMBERY;73000;CHAMBERY;  2;2021-08-25;2021-09-20
HD LOGISTIC;74250;FILLINGUES;  1;2020-12-03;2020-12-03
AGENCE CHRONOPOST D'ANNECY;74330;LA BALME DE SILLINGY;  8;2020-09-25;2020-09-25
CHRONOPOST  ANNECY;74330;LA  BALME DE SILLINGY;  2;2020-03-10;2021-03-12
AGENCE CHRONOPOST PARIS CONCORDE;75008;PARIS;  3;2020-03-16;2020-03-16
CHRONOPOST PARIS BERCY;75012;PARIS; 14;2021-05-04;2021-05-04
CHRONOPOST;75014;PARIS;  1;2019-07-26;2019-07-26
CHRONOPOST DSI;75014;PARIS;  1;2020-07-07;2020-07-07
CHRONOPOST MAGNETIK - FRAIS COMMUNS PARIS;75014;PARIS;  5;2020-03-20;2020-03-20
CHRONOPOST MAGNETIK - fRAIS COMMUNS Paris,;75014;PARIS;  1;2020-09-08;2020-09-08
SIEGE MAGNETIK;75014;PARIS;  1;2019-10-01;2019-10-01
SIEGE SOCIALE CHRONOPOST MAGNETIK;75014;PARIS;  3;2019-09-13;2019-12-17
SIEGE SOCIALE CHRONOPOST MAGNETIK ;75014;PARIS;  2;2021-07-23;2021-07-23
CHRONOCITY LECOURBE;75015;PARIS;  5;2019-08-08;2019-08-08
CHRONOPOST BEAUGRENELLE;75015;PARIS; 10;2020-02-24;2020-02-24
CHRONOPOST PARIS BEAUGRENELLE;75015;PARIS;  1;2020-03-24;2020-03-24
ALTURING MAGNETIK ;75680;PARIS CEDEX;  2;2020-01-13;2020-01-13
CHRONOPOST MAGNETIK ;75680;PARIS CEDEX;  5;2020-01-27;2021-05-06
CHRONOPOST SIEGE  MAGNETIK ;75680;PARIS CEDEX;  1;2020-02-11;2020-02-11
CHRONOPOST SIEGE MAGNETIK;75680;PARIS;  3;2019-12-11;2021-02-01
CHRONOPOST LE PETIT QUEVILLY;76140;LE PETIT QUEVILLY;  7;2021-01-05;2021-01-05
CHRONOPOST SUPPLETIF AGENCE ROUEN;76140;LE PETIT QUEVILLY;  2;2020-11-24;2020-12-02
CHRONOPOST LE HAVRE;76290;SAINT MARTIN DU MANOIR;  1;2021-09-06;2021-09-06
